SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	3446	72710	49	0	0	3.5714285	7
6/22/2022 3:43:21 AM	3447	72712	49	0	0	3.5714285	7
6/22/2022 3:53:20 AM	3450	72717	49	0	0	3.5714285	7
6/22/2022 3:56:09 AM	3456	72724	49	0	0	3.5714285	7
6/22/2022 4:09:43 AM	3462	72733	49	0	0	3.5714285	7
6/22/2022 4:12:26 AM	3467	72740	49	0	0	3.5714285	7
6/22/2022 4:19:32 AM	3469	72743	49	0	0	3.5714285	7
6/22/2022 4:21:27 AM	3470	72746	49	0	0	3.5714285	7
6/22/2022 4:28:55 AM	3475	72752	49	0	0	3.5714285	7
6/22/2022 4:30:22 AM	3475	72752	49	0	0	3.5714285	7
6/22/2022 4:34:46 AM	3480	72759	49	0	0	3.5714285	7
6/22/2022 4:36:48 AM	3480	72759	49	0	0	3.5714285	7
6/22/2022 4:39:47 AM	3480	72759	49	0	0	3.5714285	7
6/22/2022 5:06:24 AM	3498	72785	49	0	0	3.5714285	7
6/22/2022 5:22:19 AM	3505	72795	49	0	0	3.5714285	7
6/22/2022 6:37:10 AM	3508	72819	49	0	0	3.5714285	7
6/22/2022 6:39:13 AM	3509	72821	49	0	0	3.5714285	7
6/22/2022 6:42:47 AM	3509	72821	49	0	0	3.5714285	7
6/22/2022 6:53:25 AM	3508	72823	49	0	0	3.5714285	7
6/22/2022 7:05:11 AM	3507	72825	49	0	0	3.5714285	7
6/22/2022 7:48:38 AM	3507	72837	49	0	0	3.5714285	7
6/22/2022 8:06:05 AM	3504	72839	49	0	0	3.5714285	7
6/22/2022 8:52:22 AM	3498	72844	49	0	0	3.5714285	7
6/22/2022 9:04:32 AM	3496	72845	49	0	0	3.5714285	7
6/22/2022 9:48:35 AM	3484	72846	49	0	0	3.5714285	7
6/22/2022 10:05:13 AM	3482	72847	49	0	0	3.5714285	7
6/22/2022 10:53:08 AM	3476	72855	49	0	0	3.5714285	7
6/22/2022 11:04:59 AM	3476	72857	49	0	0	3.5714285	7
6/22/2022 11:50:00 AM	3467	72861	49	0	0	3.5714285	7
6/22/2022 12:07:16 PM	3463	72861	49	0	0	3.5714285	7
6/22/2022 1:01:17 PM	3454	72866	49	0	0	3.5714285	7
6/22/2022 1:55:21 PM	3454	72881	49	0	0	3.5714285	7
6/22/2022 2:04:43 PM	3453	72883	49	0	0	3.5714285	7
6/22/2022 2:49:48 PM	3450	72891	49	0	0	3.5714285	7
6/22/2022 3:05:38 PM	3449	72894	49	0	0	3.5714285	7
6/22/2022 3:49:47 PM	3445	72902	49	0	0	3.5714285	7
6/22/2022 4:04:48 PM	3443	72904	49	0	0	3.5714285	7
6/22/2022 4:08:41 PM	3444	72906	49	0	0	3.5714285	7
6/22/2022 4:17:23 PM	3443	72908	49	0	0	3.5714285	7
6/22/2022 4:27:09 PM	3441	72909	49	0	0	3.5714285	7
6/22/2022 4:28:21 PM	3442	72909	49	0	0	3.5714285	7
6/22/2022 4:36:30 PM	3439	72909	49	0	0	3.5714285	7
